category,headline,authors,link,short_description,date
HEALTHY LIVING,To The People Who Say ‘I’m Tired’ When Someone Asks How You Are,"The Mighty, ContributorWe face disability, disease and mental illness together.",https://www.huffingtonpost.com/entry/to-the-people-who-say-im-tired-when-someone-asks_us_5a5dc5a5e4b0a233482e0e64,"When you feel like this, it’s important to know you’re not alone.",2018-01-16
HEALTHY LIVING,Eating Shake Shack Made Me Feel Healthier Than Dieting Ever Did,"Colleen Werner, ContributorCampus Editor-at-Large",https://www.huffingtonpost.com/entry/eating-shake-shack-made-me-feel-healthier-than-dieting_us_5a58f948e4b01ccdd48b5bcc,"I can vividly remember the first time I felt fear and frustration around food. I was 10 years old, I had just learned about",2018-01-12
HEALTHY LIVING,How To Stay Updated On The News Without Losing Your Mind,Lindsay Holmes,https://www.huffingtonpost.com/entry/anxiety-from-reading-the-news_us_5a577c8be4b0330eab08ab34,Because it's only becoming more of a struggle.,2018-01-12
HEALTHY LIVING,27 Perfect Tweets About Whole30 That Will Make You LOL,Lindsay Holmes,https://www.huffingtonpost.com/entry/tweets-about-whole30_us_5a562d86e4b0b117f8814f03,"""The only Whole30 I want to participate in is eating a whole 30 cookies.""",2018-01-10
HEALTHY LIVING,The Real Reason Your Hands Are Always Cold,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/the-real-reason-your-hands-are-always-cold_us_5a5693fde4b088f20c395943,"Essentially, your hands are kept warm thanks to your body's circulatory system.",2018-01-10
HEALTHY LIVING,"A Week In Somerville, Massachusetts, On A $90,000 Salary","Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/a-week-in-somerville-ma-on-a-90000-salary_us_5a5692bce4b0d1a645f96bc5,"Welcome to Money Diaries, where we’re tackling what might be the last taboo facing modern working women: money. We’re asking",2018-01-10
HEALTHY LIVING,"An Expert-Backed, Foolproof Guide To 'Going Dry' For A Month","Gemma Hartley, On Assignment For HuffPost",https://www.huffingtonpost.com/entry/going-dry-for-a-month_us_5a4e63f3e4b06d1621bde7ee,How to cut down on everything from sugar to alcohol to social media.,2018-01-08
HEALTHY LIVING,Research Finds Hysterectomy Alone Associated With Increased Long-Term Health Risks,"Mayo Clinic Women's Health, ContributorOptimizing women's health and well-being throughout their life...",https://www.huffingtonpost.com/entry/research-finds-hysterectomy-alone-associated-with-increased_us_5a4e5e7ce4b0d86c803c7c9d,Mayo Clinic researchers show that hysterectomy with ovarian conservation is associated with a significantly increased risk,2018-01-04
HEALTHY LIVING,I Was Ghosted By My Best Friend,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/i-was-ghosted-by-my-best-friend_us_5a4d45b5e4b0d86c803c7b94,"It’s inevitable that over the years, some friendships are going to come to an end.",2018-01-03
HEALTHY LIVING,Did Your Ex Text You This Christmas? There's A Name For That,"Refinery29, ContributorThe #1 new-media brand for smart, creative and stylish women e...",https://www.huffingtonpost.com/entry/did-your-ex-text-you-this-christmas-theres-a-name_us_5a4d4672e4b06cd2bd03e449,"Marleying gets it’s name from Marley, the stingy late business partner of Scrooge in “A Christmas Carol.”",2018-01-03
